Table,Processed Name,Original Name,Description
events,event_id,GAINS3_EventID,"Numerical event ID (unique, primary key)"
events,country,Country,Country of collection site
events,organization,Organization,Organization
events,event_date,EventDate,Date
events,site_name,SiteName,Unique name of site where data was collected
events,primary_interface,PrimaryInterface,"Category which best describes the situation in which animals were handled and sampled, or the primary reason for sampling at this site"
events,event_name,EventName,Unique name of event where data was collected
events,region,Region,
events,state_prov,StateProv,State or province of collection site
events,district,District,District of collection site
events,latitude,Latitude,Decimal degrees
events,longitude,Longitude,Decimal degrees
events,habitat_type,HabitatType,Primary habitat within home range of animals sampled
events,habitat_comment,HabitatComment,Free text notes to describe habitat
events,landscape_conversion_gradient,LandscapeConversionGradient,
events,anthropogenic_change,AnthropogenicChange,Anthropogenic change which has occurred within home range of animals sampled within the past 6 months
events,anthropogenic_change_other,AnthropogenicChangeOther,
events,anthropogenic_change_secondary,AnthropogenicChangeSecondary,Anthropogenic change which has also occurred within home range of animals sampled within past 6 months
events,anthropogenic_change_secondary_other,AnthropogenicChangeSecondaryOther,
events,domestic_animals,DomesticAnimals,Which domestic species may have come in contact with animals sampled
events,other_domestic_animals,OtherDomesticAnimals,"Only required if not in the ""DomesticAnimals"" list."
events,duration_of_event_days,DurationOfEventDays,"Duration of event, in days"
events,recorder_name,RecorderName,Name of person collecting data
events,recorder_other,RecorderOther,
events,archived_data,ArchivedData,Whether these samples have been obtained by archives of collaborators
events,deep_forest_data,DeepForestData,
events,source_certainty,SourceCertainty,
events,other_primary_interface,OtherPrimaryInterface,"Description if ""other"" seelcted for primary interface"
events,secondary_interface,SecondaryInterface,Category which next besst describes the situation in whcih animals were handled/sampled or a secondary reason for sampling at this site
events,other_secondary_interface,OtherSecondaryInterface,"Description if ""other"" selected for secondary interface"
events,reason_for_collection,ReasonForCollection,Description of reason for collection
events,source_known,SourceKnown,Whether the source was previously known to recorders
events,event_custom_columns,EventCustomColumns,Site custom data that does not transfer to other events
events,primary_interface_group,PrimaryInterfaceGroup,
events,secondary_interface_group,SecondaryInterfaceGroup,
events,date_last_updated,DateLastUpdated,
events,organization_id,OrganizatonIDOwner,
animals,animal_id,GAINS3_SampleUnitID,Numerical animal ID
animals,event_id,GAINS3_EventID,Numerical event ID
animals,animal_id_name,AnimalID (GAINS),Alphanumeric animal ID
animals,species_scientific_name,SpeciesScientificName,"Scientific name of animal, ""sp."" used for known genus but uncertain or unspecified species."
animals,species_common_name_english,SpeciesCommonNameEnglish,Species common name
animals,sex,Sex,Sex of animal
animals,age_class,AgeClass,Age class of animal
animals,container_type,ContainerType,Type of container sample group was in
animals,quantity,,
animals,quantity_certainty,,
animals,quantity_unit,,
animals,animal_id_name_fromcountry,AnimalID from Country,
animals,prioritized_for_testing,PriortizedForTesting,
animals,sample_date,SampleDate,
animals,sample_unit_latitude,SampleUnitLatitude,"DD.dddd, Positive values for North: only required if latitude differs from site latitude"
animals,sample_unit_longitude,SampleUnitLongitude,"DD.dddd, Positive values for East; only required if longitude differs from site longitude"
animals,butcher_reduces_blood_contact,ButcherReducesBloodContact,Whether the butcher has done anything to reduce blood contact with bushmeat
animals,circumstance_of_observation,CircumstanceofObservation,"Direct observation by recorder, or indirect report"
animals,other_condition_of_preservation,OtherConditionOfPreservation,Used for condition or preservation methods not in list
animals,origin_known,OriginKnown,Whether wildlife product origination known
animals,origin_location,OriginLocation,"Where wildlife product originated from, may only be relevant for samples from wildlife trade"
animals,time_since_origin,TimeSinceOrigin,Estimated time elapsed since product harvest from source (days)
animals,destination_product,DestinationProduct,Destination of wildlife product (if known)
animals,vendor_quantity,VendorQuantity,Total quantity of product at start of day per vendor or at time of inquiry
animals,price_unit_usd,PriceUnitUSD,Cost per kg or unit in US Dollars based on current exchange rate
animals,rate_sale_sold,RateSaleSold,Estimate of turnover based on number of units sold per unit time
animals,identified_by,IdentifiedBy,Who identified wildife
animals,circumstance_observation,CircumstanceObservation,IDENTICAL to circumstance_of_observation?
animals,animal_classification,AnimalClassification,Animal category: captive wild; domestic; feral domestic; wild
animals,species_common_name_local,SpeciesCommonNameLocal,Common name of animal in national language of country where animal collected
animals,identification_certainty,IdentificationCertainty,Level of certainty of wildlife identification
animals,tag_band_id,TagBandID,
animals,pregnant,Pregnant,
animals,with_young,WithYoung,Whether the animal has young with them at capture
animals,lactating,Lactating,
animals,condition_at_capture,ConditionAtCapture,Condition of the animal when sampling begins
animals,condition_at_release,ConditionAtRelease,Physical condition of animal at release
animals,preservation_method,PreservationMethod,Condition or Preservation method
animals,other_condition_preservation,OtherConditionPreservation,IDENTICAL to other_condition_of_preservation?
animals,use,Use,Intended use of wildlife product (if known)
animals,other_use,OtherUse,
animals,euthanasia,Euthanasia,
animals,clinical_signs_gross_findings,ClinicalSigns/GrossFindings,Notes on specific clinical signs (if observed)
animals,disease_suspected,DiseaseSuspected,
animals,suspected_disease,SuspectedDisease,NOT IDENTICAL to disease_suspected
animals,necropsy_exam,Necropsy/exam,Whether necropsy or physical exam was conducted
animals,field_necropsy_result,FieldNecropsyResult,"Captures physical signs or signalment regarding the animals, to get information such as edema, bruising, hemorrhage, skin lesions, conjunctivitis, excessive discharge, etc. This would help define sentinel syndromes."
animals,body_measurement_body_part_type,BodyMeasurementBodyPartType,Type of part measured
animals,body_measurement_unit,BodyMeasurementUnit,SI unit for body part measurement
animals,body_measurement_value,BodyMeasurementValue,Value of body part measurement
animals,part_name,PartName,Description of wildlife product based on USFWS form 3-177 (code given in parentheses)
animals,part_description,PartDescription,Provides opportunity to enter more details on parts field
animals,perceived_rate_of_sale,PerceivedRateOfSale,IDENTICAL to rate_sale_sold?
animals,price_unit_local,PriceUnitLocal,Cost per kg or unit in local currency
animals,vendor_quantity_unit,VendorQuantityUnit,SI unit which quantity is reported in
animals,vendor_quantity_certainty,VendorQuantityCertainty,Degree of certainty over quantity assessment
animals,butchering_activity,ButcheringActivity,Whether there is butchering activity occuring at this site or sampling event
animals,butcher_name,ButcherName,Who the butcher was at this sampling event
animals,butcher_observable_risk_factors,ButcherObservableRiskFactors,Risk factors associated with the butchering event
animals,quarter,Quarter,
animals,sample_unit_notes,SampleUnitNotes,Notes on animal entry
animals,sample_unit_custom_columns,SampleUnitCustomColumns,
animals,date_last_updated,DateLastUpdated,
animals,sample_individual_name,SampleIndividualName,
animals,taxagroup,Taxagroup,
animals,class,class,Integrated Taxonomic Information System Class
animals,order,order,Integrated Taxonomic Information System Order
animals,family,family,Integrated Taxonomic Information System Family
animals,genus,genus,Integrated Taxonomic Information System Genus
