eidith_name,eidith_class,eidith_order,eidith_family,eidith_genus,eidith_species,itis_name,itis_class,itis_order,itis_family,itis_genus,itis_species,itis_subspecies,itis_binomial
Athene brama,Aves,Strigiformes,Strigidae,Athene,brama,Athene brama,Aves,Strigiformes,Strigidae,Athene,brama,NA,Athene brama
Ixobrychus cinnamomeus,Aves,Pelecaniformes,Ardeidae,Ixobrychus,cinnamomeus,Ixobrychus cinnamomeus,Aves,Pelecaniformes,Ardeidae,Ixobrychus,cinnamomeus,NA,Ixobrychus cinnamomeus
Ardeola bacchus,Aves,Pelecaniformes,Ardeidae,Ardeola,bacchus,Ardeola bacchus,Aves,Pelecaniformes,Ardeidae,Ardeola,bacchus,NA,Ardeola bacchus
Anastomus oscitans,Aves,Ciconiiformes,Ciconiidae,Anastomus,oscitans,Anastomus oscitans,Aves,Ciconiiformes,Ciconiidae,Anastomus,oscitans,NA,Anastomus oscitans
Passer montanus,Aves,Passeriformes,Passeridae,Passer,montanus,Passer montanus,Aves,Passeriformes,Passeridae,Passer,montanus,NA,Passer montanus
Passer domesticus,Aves,Passeriformes,Passeridae,Passer,domesticus,Passer domesticus,Aves,Passeriformes,Passeridae,Passer,domesticus,NA,Passer domesticus
Dendrocygna sp.,Aves,Anseriformes,Anatidae,Dendrocygna,NA,Dendrocygna sp.,Aves,Anseriformes,Anatidae,Dendrocygna,NA,NA,NA
Porphyrio sp.,Aves,Gruiformes,Rallidae,Porphyrio,NA,Porphyrio sp.,Aves,Gruiformes,Rallidae,Porphyrio,NA,NA,NA
Gallinula chloropus,Aves,Gruiformes,Rallidae,Gallinula,chloropus,Gallinula chloropus,Aves,Gruiformes,Rallidae,Gallinula,chloropus,NA,Gallinula chloropus
Bubulcus ibis,Aves,Pelecaniformes,Ardeidae,Bubulcus,ibis,Bubulcus ibis,Aves,Pelecaniformes,Ardeidae,Bubulcus,ibis,NA,Bubulcus ibis
Ploceus philippinus,Aves,Passeriformes,Ploceidae,Ploceus,philippinus,Ploceus philippinus,Aves,Passeriformes,Ploceidae,Ploceus,philippinus,NA,Ploceus philippinus
Lonchura punctulata,Aves,Passeriformes,Estrildidae,Lonchura,punctulata,Lonchura punctulata,Aves,Passeriformes,Estrildidae,Lonchura,punctulata,NA,Lonchura punctulata
Streptopelia chinensis,Aves,Columbiformes,Columbidae,Streptopelia,chinensis,Streptopelia chinensis,Aves,Columbiformes,Columbidae,Streptopelia,chinensis,NA,Streptopelia chinensis
Dendrocygna javanica,Aves,Anseriformes,Anatidae,Dendrocygna,javanica,Dendrocygna javanica,Aves,Anseriformes,Anatidae,Dendrocygna,javanica,NA,Dendrocygna javanica
